created_at,text
2017-11-05 05:54:59,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/hAAG1Xf34S"""
2017-11-05 05:53:05,b'https://t.co/Ytw4zqn9U3 &lt;-- nice profit chart! Many millions in profit in a few years is impressive. $AAPL $LINE $LOCK $VTAE'
2017-11-05 05:51:36,"b""RT @Wrighter: A man was able to use Face ID to unlock his brother's new iPhone X https://t.co/c9HS8fkI16 #iPhoneX #Apple https://t.co/DQucc\xe2\x80\xa6"""
2017-11-05 05:42:10,b'RT @Stockdog101: Where is the $AAPL wolf trader? $AMZN $NFLX $TSLA $GOOGL $TWTR $FB $COST $ADSK $IPGP $QQQ $CELG $INGN $NVDA $CTRP $INTC $S\xe2\x80\xa6'
2017-11-05 05:39:58,b'@daniel_duan :( I think @cdespinosa had a tweet stream about how the Volkswagen he bought in the early 90s cost lik\xe2\x80\xa6 https://t.co/akKdQvYvJR'
2017-11-05 05:38:11,b'RT @qz: Apple revealed which emoji Americans use the most https://t.co/LXtLnnyMzT'
2017-11-05 05:37:32,b'8.5B is services rev. Up 34% yoy $AAPL'
2017-11-05 05:36:07,"b""A man was able to use Face ID to unlock his brother's new iPhone X https://t.co/c9HS8fkI16 #iPhoneX #Apple https://t.co/DQuccu3H8i"""
2017-11-05 05:35:49,"b'RT @VistaPResearch: #Can We Get A Ninth Please?""  https://t.co/NOLx0h9YyQ #investing #trading AAPL $FB $HIIQ $ATOS $FSNN $DIA #SundayMornin\xe2\x80\xa6'"
2017-11-05 05:29:28,b'RT @VistaPResearch: @Pokemon_Newz thanks for follow! #SaturdayNight See Vista Partners #InvestingForLife  #Tech https://t.co/1x6MLaGp0d $AA\xe2\x80\xa6'
2017-11-05 05:28:17,b'Apple Computer (AAPL) Shareholder Lee Danner &amp; Bass Decreased Position\xe2\x80\xa6 https://t.co/ATjp8aREIt #GeeksUnion #Apple'
2017-11-05 05:28:08,b'Apple Computer (AAPL) Shareholder Lee Danner &amp; Bass Decreased Position\xe2\x80\xa6 https://t.co/CA0qzSHBBI #GeeksUnion #Apple'
