created_at,text
2017-11-10 02:35:00,"@TheSpiritJuice That is quite odd. Have you made sure to share this event on our Feedback Hub, too? https://t.co/55hRdPhH3p"
2017-11-10 02:34:45,RT @MicrosoftTeams: [Watch] Free webinar on Intelligent Communications! https://t.co/nMGYc1Me6F
2017-11-10 02:34:01,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-10 02:33:09,"The Five P/E Ratios

ticker ttm/fwd(e) grw%(e)
$AMZN 287/179 60
$FB 33/28 19
$GOOGL 33/26 25
$MSFT 25/25 1
$AAPL 19… https://t.co/SKyNSPW7Wj"
2017-11-10 02:33:07,"RT @MSCloud: Learn about #SQLServer 2017 and how it is superior to Oracle as a database management platform:
https://t.co/p8NZl4vAVw https:…"
2017-11-10 02:32:53,RT @Windows: 🌟 Brighten up your #Windows10 desktop with this 12-image set of lighthouses under gorgeous night skies. Get it here: https://t…
2017-11-10 02:32:03,"RT @cyberfeeIs: Why should Caesar get to stomp around like a giant, while the rest of us try not to get smushed under his big feet? What's…"
2017-11-10 02:32:01,RT @Azure: Announcing automatic #OS upgrades for #Azure #VM scale sets! Learn more: https://t.co/pHy0MBLUOr
2017-11-10 02:31:48,"RT @VisualStudio: Explore the possibilities of a single C# codebase w/ a #mobile #DevOps guide. Spend more time coding, download now: https…"
2017-11-10 02:31:41,Top analysts are betting on these AI growth stocks https://t.co/sPdf0U9YAF $MSFT $YEXT $FB $MU $GOOGL https://t.co/4uTWURiiVx @cnbc
2017-11-10 02:30:05,RT @surface: The new Surface Book 2 delivers up to 17 hours of battery life and is 4 times more powerful than before. Get yours: https://t.…
2017-11-10 02:30:01,#MSLeadingEdge: Gain new insights into cloud products &amp; programs to help you build your cloud services business… https://t.co/UEyyNpERQt
2017-11-10 02:28:44,"Please all meet a bully and rapist...hes trying to demean me...even w his teeny, tiby penis @Thomas1774Paine… https://t.co/ynn7TjN6IQ"
2017-11-10 02:28:01,RT @MSCloud: Via @CNBC: Microsoft #Azure is growing faster than #AWS &amp; big brands are behind the expansion. Read: https://t.co/p3GalESjhJ
2017-11-10 02:25:54,"RT @msdev: Learn how to integrate an #IoT solution with a #UWP app with the ""Best For You"" sample #app. Download now: https://t.co/IUZu7g4c…"
2017-11-10 02:25:53,RT @EquitiesOB: https://t.co/9jBjTKRAsl Your #1 Source For Stocks &amp; Options Alerts ! $SPY $IBB $AAPL $FB $AMZN $GLD $MCD $BA $NKE $MSFT $NV…
2017-11-10 02:25:47,RT @Azure: Create and deploy #MachineLearning models on #SQLServer using #Python. Register for the on-demand webinar now: https://t.co/uPMK…
2017-11-10 02:24:48,RT @EquitiesOB: https://t.co/9jBjTKRAsl Your #1 Source For Stocks &amp; Options Alerts ! $SPY $IBB $AAPL $FB $AMZN $GLD $MCD $BA $NKE $MSFT $NV…
2017-11-10 02:24:46,RT @OneNoteEDU: Have you tried the new math features in #OneNote? Check out this helpful video by #MIEExpert @anfield1974: https://t.co/Mpy…
