created_at,text,sentiment
2017-12-06T07:56:26Z,$BABA $AAPL $GOOG $AMZN $NFLX c’mon Santa! Get to work!,Neutral
2017-12-06T07:39:12Z,Estimize EPS expectations are 1.14% higher than that of Wall Street for $AAPL Q1 [Reporting 01/30 AMC] http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;amp;utm_medium=eps_difference&amp;amp;utm_source=stocktwits#chart=change-over-time,Neutral
2017-12-06T07:25:20Z,$FB $AAPL $GE $AMZN $UVXY $TVIX Sunedison a Story of Wall Street Greed and Fear https://www.youtube.com/watch?v=qKynLs5eaq4,Neutral
2017-12-06T07:19:13Z,$BABA will this be the beginning to $BABA making It to the league Hope it not to late 😑 $MSFT $GOOG $AAPL $AMZN,Neutral
2017-12-06T06:59:06Z,$AAPL Tech stock down big!!Buy or Sell https://youtu.be/-4xTingTXBM,Bullish
2017-12-06T06:58:56Z,$FNKO Steve Jobs never became a billionaire from $AAPL He became a billionaire when he sold Pixar to $DIS That&#39;s us. Here. Now.,Neutral
2017-12-06T06:42:19Z,"Since The Election, 10 Stocks Have Taken 33% of the Gains  https://buff.ly/2zA7Tag   $JPM $BAC $NVDA $BA $WMT $AAPL $MSFT $GOOG $FB $AMZN",Neutral
2017-12-06T06:37:49Z,$AAPL APPLE H1 SIGNAL. good reaction from 1000sma,Bullish
2017-12-06T06:21:14Z,$FNKO Funko is going to make an animated series for $NFLX using Marvel&#39;s $DIS characters. This will be a test bed for Pixar-like movie $AAPL,Bullish
2017-12-06T06:14:20Z,$AAPL Dang! From bad to worse! Did NK pop a nuke?,Neutral
2017-12-06T06:13:49Z,$AAPL $fb Targets will hit tomorrow,Bearish
2017-12-06T05:47:52Z,"$AAPL $NVDA $FB $GOOG $AMZN $MSFT it seems AMT to be repealed in new tax bill, very good for tech companie",Bullish
2017-12-06T05:45:53Z,"$AAPL $nvda $fb $goog $amzn $msft it seems ATM to be repealed in new tax bill, very good for tech companies.",Bullish
2017-12-06T05:35:18Z,Price Moves vs Expected Moves $MU $WFC $FB $NVDA $EEM $AAPL $BABA $VXX $BAC $GLD $GE $AMD http://tinyurl.com/y7zbwhgq,Neutral
2017-12-06T05:35:12Z,$AAPL is in both indices.,Neutral
2017-12-06T05:33:00Z,$AAPL What&#39;s going on with Asia??,Neutral
2017-12-06T05:27:50Z,"$AAPL pls make phone fingerID on pwrbuttn, no glass back don&#39;t care about wireless charging, oled screen without devil&#39;s horns, thx Tim cook",Bullish
2017-12-06T05:25:21Z,$AAPL I keep seeing posts about the nasdaq being down and $AAPL bearish isn’t it a $DJIA component?,Bullish
2017-12-06T05:08:59Z,$AAPL https://www.cnbc.com/2017/12/05/cramer-if-you-think-tech-stocks-are-way-too-expensive-youre-wrong.html,Bullish
2017-12-06T04:54:22Z,"$SPY $DIA $SPX $IWM $QQQ $AAPL $FB $BAC   Walls Of Buyers, As More People Getting Into Investing",Bullish
2017-12-06T04:53:30Z,$AVGO guys if Broadcom can give better than expected results tomorrow will $AAPL goes up?,Bullish
2017-12-06T04:45:08Z,$AAPL estimates distribution - here’s what 238 Estimize analysts are expecting $AAPL to report for Q1 [Reporting 01/30 AMC] http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;amp;utm_medium=distribution&amp;amp;utm_source=stocktwits#chart=scatter-plot,Neutral
2017-12-06T04:44:58Z,Why the market stopped going up and volatility is increasing: http://crackedmarket.com/2017/12/searching-for-direction/ $SPY $SPX $ES_F $QQQ $IWM $AAPL,Neutral
2017-12-06T04:37:46Z,$AAPL $fb It appears everyone is nestled away in their beds....little do they know. Santa brought them coal overnight futures lmao!!!!,Bearish
2017-12-06T04:32:14Z,$AAPL $fb Wow.....-27 Nas futures.....this is going to be a picnic tomorrow!!!!,Bearish
2017-12-06T04:31:30Z,$aapl $goog $sq @HammerTrades No. It is just people like us selling,Neutral
2017-12-06T04:29:33Z,Enjoy and have a good night. Follow or subscribe to the site if you like what you see $SPY $QQQ $IWM $DIA $UVXY $XIV $FB $BABA $AAPL $GOOGL,Bullish
2017-12-06T04:27:49Z,$AAPL $FB And so it continues tomorrow for the 4th session in a row.....wow...when will it end? Twix pick a side!!!,Neutral
2017-12-06T04:24:12Z,$AAPL $fb I&#39;d like to see -100 points on the Nas futures....now that would be amazing!!!!,Bearish
2017-12-06T04:22:14Z,$AAPL 168&#39;s open $fb 171&#39;s,Bearish
2017-12-06T04:10:11Z,$AAPL Hope it don&#39;t gap down to much. I wanna scoop up some early morning puts.,Bearish
2017-12-06T04:03:01Z,"$AAPL I&#39;m gonna buy a sis of Murphy&#39;s Irish Red and watch AAPL in its final throws of its death spiral. 6% of its cash to Irish, WOW!",Bearish
2017-12-06T04:02:19Z,"$AAPL 20MA is starting to go down while bearish pattern could be forming, Buy Stop above 20MA; bearish until 50MA.",Bearish
2017-12-06T03:59:32Z,"$AAPL Bottom channel line is 160, seems within reach now. Should have loaded up on those puts when they were cheap!!!",Neutral
2017-12-06T03:58:10Z,$AAPL Asia markets getting slammed. Meanwhile bitcoin sets another high LOL. This cannot end well.,Neutral
2017-12-06T03:58:07Z,$AAPL Trumptaxcut sounds like a dinosaur,Neutral
2017-12-06T03:56:56Z,$AAPL Naz is looking ugly tonight. Feel for the short term call holders. Gonna take a beating tomorrow looks like. Praise the Trumptaxcut!,Neutral
2017-12-06T03:55:43Z,"@StocksJohnson @MartianMoneyHunter Yeah if I can do OK with $AVGO $AAPL and $MU, I&#39;ll not feel so bad to hold $LRCX loooong",Neutral
2017-12-06T03:52:58Z,$AAPL&#39;s $259 iPad: What You Need to Know  https://buff.ly/2zRmWYS,Neutral
2017-12-06T03:51:31Z,DAILY REPORT$SPY $IWM $QQQ $GLD $TLT $AAPL,Neutral
2017-12-06T03:51:01Z,$AAPL If I have learned only one thing it is to never hold options overnight.,Neutral
2017-12-06T03:40:46Z,$SPY $QQQ $IWM $AAPL $FB $AMD Sunedison the story of Wall Street Greed and Fear https://www.youtube.com/watch?v=qKynLs5eaq4,Neutral
2017-12-06T03:35:24Z,"$FB $AAPL Check out &quot;Netflix, Apple and Facebook won&#39;t go much lower&quot; on Yahoo Finance https://finance.yahoo.com/video/netflix-apple-facebook-wont-much-010700089.html",Neutral
2017-12-06T03:28:52Z,3 Things $AAPL Does Right  https://buff.ly/2AAtpJc,Neutral
2017-12-06T03:24:52Z,@rdstocktwits @StocksJohnson $AAPL and $AVGO should Be fine,Neutral
2017-12-06T03:23:08Z,$AAPL Market-wide Ranks 27 by short volume -4 from yesterday at 23 as short volume Decreases http://www.algowins.com/short-data/?filter_2=AAPL,Neutral
2017-12-06T03:19:55Z,$NVDA $AAPL $GOOGL $SPY $AMZN individual option or entire option chain for specific exp date can be tracked soon ..,Neutral
2017-12-06T03:16:12Z,@MartianMoneyHunter @StocksJohnson Hold $50K in $AAPL $AVGO $MU $LRCX. My how this sucks.,Neutral
2017-12-06T03:15:06Z,$AAPL where is the &quot;SANTA RALLY&quot; maybe this is take down this week for next week rally to start?,Neutral
2017-12-06T03:11:37Z,$AAPL $LRCX $AVGO $MU so much for Santa rally. I think we make history this year and crash December,Neutral
2017-12-06T03:11:22Z,"Love the predictability of Wall st manipulating stock prices to maximize options OPEx / max pain.  Dec 15 $aapl $170, $goog $1,000, $sq $38",Neutral
2017-12-06T03:02:22Z,$AAPL unreal. All that market fading and I still bought into stocks. So dumb. This bs is about to crash. Stupid congress,Neutral
2017-12-06T03:00:57Z,$AAPL   W  T  F  $160 no way,Neutral
2017-12-06T02:57:06Z,$AAPL  more pain tomorrow !!!! jesus,Neutral
2017-12-06T02:55:33Z,$NVDA  $RVNC $SBUX $SPY $AAPL $fb $SNAP fkn typical subscription “paid education” new account on ST with pictures of houses/cars on website,Neutral
2017-12-06T02:39:11Z,$AAPL $fb Yay!! Futures dropping fast again!!! Lovely!!!!,Bearish
2017-12-06T02:38:28Z,$AAPL Bought AAPL 12/08 $170 calls for $1.25 each.,Neutral
2017-12-06T02:35:16Z,This Vanguard Fund Emulates The #S&amp;P 500 $SPY $VOO $AMZN $MSFT $AAPL $AMZN $JNJ https://marketchameleon.com/Blog,Neutral
2017-12-06T02:25:38Z,$AAPL $FB Technical Analysis $STUDY #HighFlyer https://youtu.be/AEOyxqw32oA,Neutral
2017-12-06T02:22:49Z,NEW VIDEO Stock Analysis + Trade Ideas $AAPL $AMZN $GOOGL $BIDU $BABA $FB $NVDA click link &gt; https://www.thetradinganalyst.com/12517-how-to-trade-stocks-aapl-amzn-googl-bidu-baba/,Neutral
2017-12-06T02:21:52Z,@Baidewei2 $AAPL is a lazy company in anything other than what they do and they must not be allowed to touch TRXC.,Neutral
2017-12-06T02:21:10Z,$AAPL CNBC was on a roll bashing Apple today. Must be positive.,Neutral
2017-12-06T02:20:43Z,"$GE $AAPL ok, i have to admit i agree with that.  Still, I am betting on GE over the long haul and it is oversold.",Neutral
2017-12-06T02:17:44Z,$GE Would rather buy $AAPL (PE: 18) with potential growth than $GE (PE: 21) with no growth at all.,Bearish
2017-12-06T02:11:00Z,Stocks to Trade: $RH $INCR $AAPL - SharePlanner http://www.shareplanner.com/featured-blogs/ryan-mallory/watch-lists/24056-stocks-to-trade-rh-incr-aapl.html,Neutral
2017-12-06T01:58:23Z,"$AAPL $FB $NFLX Cramer&#39;s charts suggest Netflix, Apple and Facebook&#39;s stocks won&#39;t go much lower http://video.cnbc.com/gallery/?video=3000676519",Neutral
2017-12-06T01:51:24Z,Here’s what 238 Estimize analysts believe $AAPL will report for Q1 2018 revenue [Reporting 01/30 AMC] http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;amp;utm_medium=revenue_update&amp;amp;utm_source=stocktwits#chart=historical,Neutral
