created_at,text,sentiment
2017-12-06T08:03:07Z,Estimize EPS expectations are 4.67% higher than that of Wall Street for $MSFT Q2 [Reporting 01/31 AMC] http://www.estimize.com/intro/msft?utm_content=MSFT&amp;amp;utm_medium=eps_difference&amp;amp;utm_source=stocktwits#chart=change-over-time,Neutral
2017-12-06T07:19:13Z,$BABA will this be the beginning to $BABA making It to the league Hope it not to late 😑 $MSFT $GOOG $AAPL $AMZN,Neutral
2017-12-06T06:57:36Z,$MSFT  Stocks that Pay huge dividend..  https://youtu.be/GctF1OJlbTg,Neutral
2017-12-06T06:47:15Z,57.4% earnings growth in 3 years.. What’s your opinion? Microsoft $MSFT https://simplywall.st/NasdaqGS:MSFT/microsoft/?utm_medium=stocktwits&amp;anchor=past-future-earnings#past-future-earnings,Neutral
2017-12-06T06:42:19Z,"Since The Election, 10 Stocks Have Taken 33% of the Gains  https://buff.ly/2zA7Tag   $JPM $BAC $NVDA $BA $WMT $AAPL $MSFT $GOOG $FB $AMZN",Neutral
2017-12-06T06:36:54Z,How to Invest in India&#39;s Hot E-Commerce Economy? Just Buy The Usual Names https://buff.ly/2AvKNR5  $AMZN $MSFT $GOOG $GOOGL $BABA $TCEHY,Neutral
2017-12-06T06:17:37Z,$MSFT Take a look at Microsoft&#39;s plans for its 32-acre Silicon Valley campus https://themarketisopen.com/posts/take-a-look-at-microsoft-s-plans-for-its-32-acre-silicon-valley-campus,Neutral
2017-12-06T05:51:42Z,AMD if does not go up tomorrow then it will be ugly 😬 8-9 or may be worse 🤭 #amd  #semiconductors $AMD $NVDA $MSFT $MU $OLED,Neutral
2017-12-06T05:47:52Z,"$AAPL $NVDA $FB $GOOG $AMZN $MSFT it seems AMT to be repealed in new tax bill, very good for tech companie",Bullish
2017-12-06T05:45:53Z,"$AAPL $nvda $fb $goog $amzn $msft it seems ATM to be repealed in new tax bill, very good for tech companies.",Bullish
2017-12-06T05:45:08Z,$MSFT has an average volume of 20644000. This is a good sign as it is always nice to have a liquid stock. https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=TA#/MSFT?key=92318c9b-cb66-4932-8e30-5564fa1dd6a6,Neutral
2017-12-06T05:09:25Z,$MSFT estimates distribution - here’s what 119 Estimize analysts are expecting $MSFT to report for Q2 [Reporting 01/31 AMC] http://www.estimize.com/intro/msft?utm_content=MSFT&amp;amp;utm_medium=distribution&amp;amp;utm_source=stocktwits#chart=scatter-plot,Neutral
2017-12-06T05:00:10Z,$AMD $MARK $LULU $MSFT,Neutral
2017-12-06T04:44:40Z,$MSFT rally into 2018?,Bullish
2017-12-06T04:39:23Z,https://finance.yahoo.com/news/invest-india-apos-hot-e-233311943.html?.tsrc=rss $BABA $AMZN $FB $GOOG $MSFT $TCEHY $INDL $INDA,Neutral
2017-12-06T04:38:59Z,$BABA $AMZN $FB $GOOG $MSFT $TCEHY $INDL $INDA,Neutral
2017-12-06T04:30:58Z,$MSFT $CRM $TWTR for the year end rally. Pretty safe bets with limited downside.,Neutral
2017-12-06T04:29:54Z,$MSFT wake up at 3 am and buy this. Tomorrow a bullish day...will be $90 before you know it. Pivot is $85.76,Bullish
2017-12-06T04:24:54Z,$MSFT guys come to $DPW. Tomorrow is a good day to enter!,Bullish
2017-12-06T04:22:15Z,"$msft as the CEO begins to reshape the company with new board members, expect the decline of $amzn and $baba cloud",Bullish
2017-12-06T04:11:57Z,$SPY $UVXY $VXX $APPL $BABA $AMZN $TSLA $MSFT $FSLR,Neutral
2017-12-06T04:10:56Z,$SPY FIB WEBINAR - Can be used on $UVXY $VXX $APPL $BABA $AMZN $TSLA $MSFT $FSLR https://youtu.be/_IM1o-vFMS4,Neutral
2017-12-06T04:10:49Z,$AMD $MSFT $QCOM,Neutral
2017-12-06T04:10:02Z,$AMD Gap up tomorrow...thanks $MSFT $QCOM,Bullish
2017-12-06T04:08:31Z,$AMD $MSFT $QCOM Couple of Gap ups for AMD in the next 10 days to $12.,Neutral
2017-12-06T03:58:07Z,The Current Ratio of $MSFT is much better than the industry average of 1.63. https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=HEALTH#/MSFT?r=fa&amp;key=92318c9b-cb66-4932-8e30-5564fa1dd6a6,Neutral
2017-12-06T03:54:54Z,$Qqq get them valuable chips on da dips $pypl $sq $msft . When they are up 30% + nxt year you will lose on these discounts,Bullish
2017-12-06T03:44:22Z,$PYPL $MSFT $C $BAC $WFC $JPM $NVDA Sunedison  Story of Wall Street Greed and Fear https://www.youtube.com/watch?v=qKynLs5eaq4,Neutral
2017-12-06T03:25:33Z,"@billybatts agree, market place too big to not be.... could even be bigger... $500 before March literally unreal with its deal with $MSFT",Bullish
2017-12-06T03:24:47Z,$AMD $MSFT roll out global cloud with AMD EPYC while $QCOM&amp;AMD roll out always connected LTE hmmm i smell something $_$,Bullish
2017-12-06T03:22:37Z,"$IOT.X is gonna keep booming like I said back at $0.85ish...gonna be more used than bitcoin in near 2 years, due to the IoTs. $MSFT $AMD",Bullish
2017-12-06T03:00:33Z,$MSFT @johncrowther Moves for 2018.. sell $XRX buy $MSFT projections look nawce.. $HMC still on watch list too,Neutral
2017-12-06T02:57:33Z,$MSFT Market-wide Ranks 112 by short volume -34 from yesterday at 78 as short volume Decreases http://www.algowins.com/short-data/?filter_2=MSFT,Neutral
2017-12-06T02:49:01Z,"Aggregate short volume reported to FINRA for $MSFT was 1,122,719 on 12-05-17 http://www.volumebot.com/?s=MSFT",Neutral
2017-12-06T02:47:48Z,@bardgee uhhh not for my babies $siri $msft $pypl etc etc,Neutral
2017-12-06T02:46:37Z,@bardgee nothing changed. Bought more on the dip $msft $pypl etc,Neutral
2017-12-06T02:35:16Z,This Vanguard Fund Emulates The #S&amp;P 500 $SPY $VOO $AMZN $MSFT $AAPL $AMZN $JNJ https://marketchameleon.com/Blog,Neutral
