created_at,text,sentiment
2017-11-30T14:51:13Z,"apl,guy,think,play,game,retail,look,aapl,open,today",0
2017-11-30T14:51:39Z,"apl,one,scare,rememb,thi,fell,day,buy,buy,buy,break,hod",1
2017-11-30T14:51:50Z,"ple,heart,studi,appl,aapl,health,wealth,goog,nvda,amzn",0
2017-11-30T14:51:56Z,"apl,dear",1
2017-11-30T14:51:56Z,"apl,record,break,sale,iphon,x,sale,bought,let,go,aapl,gon,na,touch,today",1
2017-11-30T14:53:01Z,"apl,mani,late,bull,go,lower",-1
2017-11-30T14:53:24Z,"apl,taze,let,get,higher",0
2017-11-30T14:53:32Z,"apl,price,target,appl",1
2017-11-30T14:54:03Z,"apl,probabl,see,futur,upgrad",1
2017-11-30T14:54:25Z,"spi,spx,vix,aapl,fb,nflx,uvxi,msft,tsla,amzn,qqq,djia,rut,iwm,dxi,btfd",0
2017-11-30T14:54:45Z,"apl,tax,bill,pass,thi,rocket",0
2017-11-30T14:55:09Z,apl,0
2017-11-30T14:55:57Z,"apl,intraday,option,flow,bullish",1
2017-11-30T14:56:22Z,"apl,least,thi,make,higher,stay,sidelin,direct,confirm",0
2017-11-30T14:56:38Z,"apl,carp,diem,buy,appl,share,take,vacat,come,back,see,profit",0
2017-11-30T14:56:41Z,"get,drop,aapl,blow,mayb,get,bought,good,news,watt",0
2017-11-30T14:56:42Z,"mzn,aapl,fb,goog,nflx,crm,msft,unless,upgrad,mention,nn,pass,upgrad,baseless,nn",0
2017-11-30T14:57:54Z,"apl,need,appl,hit,buyback,button",0
2017-11-30T14:58:10Z,"catch,fall,appl,stock,free,aapl",0
2017-11-30T14:58:29Z,"eat,aapl,mean",1
2017-11-30T14:58:34Z,"apl,got,reject,thi,could,bad,rest,today",0
2017-11-30T14:58:53Z,"apl,analyst,estim,expect,yoy,ep,growth,report,amc",0
2017-11-30T15:01:40Z,"apl,love,wa,short,lmao",0
2017-11-30T15:01:54Z,"ite,direct,tech,atvi,aapl,fb,rht,vmw,amat",1
2017-11-30T15:02:38Z,"apl,somebodi,want,appl,back,lol",1
2017-11-30T15:03:09Z,"apl,take,nice,slow,calm,babi,go,slowli",0
2017-11-30T15:03:35Z,"new,daili,high,wa,reach,aapl,aapl",0
2017-11-30T15:03:54Z,"norm,look,aapl,ba,amp,countless,alway,su,greedi,lawyer",1
2017-11-30T15:04:09Z,"sft,aapl,stupid,buy,thi",0
2017-11-30T15:05:13Z,apl,0
2017-11-30T15:07:13Z,"sla,see,two,compani,togeth,point,blind,blind,aapl,amp,tsla,chang,world",1
2017-11-30T15:07:13Z,"apl,look,beauti,congrat,option,trader,make,tremend,day,aloha",0
2017-11-30T15:07:25Z,"apl,veri,nice,behind,fitbit,xiaomi,green",0
2017-11-30T15:07:35Z,"apl,drone,go",1
2017-11-30T15:07:41Z,"apl,grind,higher,bullish,flow",1
2017-11-30T15:08:16Z,"apl,timmi,slam,buy,back,button,like,chooooo,choooooo",1
2017-11-30T15:08:39Z,apl,0
2017-11-30T15:11:34Z,"apl,nice,bear,trap",1
2017-11-30T15:13:02Z,"star,analyst,michael,olson,piper,jaffray,reiter,buy,aapl",0
2017-11-30T15:15:31Z,"apl,patient,aapl,today,watch,time,high,come,heart,beat,onc,short,realiz,loos,battl,cover,quick",0
2017-11-30T15:16:24Z,"oodnewsbul,want,see,courag,ball,still,way,normal,price,thi,bargain,let,rip,aapl",1
2017-11-30T15:18:16Z,"apl,month,ago,good,aapl,land,blowout,er,jan,xma,santa,come,aapl,product,tree",1
2017-11-30T15:18:29Z,"hampini,guy,forget,aapl,bought,energ,competitor,need,watt",0
2017-11-30T15:18:36Z,apl,0
2017-11-30T15:18:49Z,"apl,decemb",1
2017-11-30T15:19:04Z,"apl,baba,let,get,past,rip,higher",1
