created_at,text
2017-12-04 07:22:31,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
2017-12-04 07:16:30,b'$HMLA .0049??! 1 update &amp; BOOM! aiming 4 10 cents+ 4 this MARIJUANA stock 36MIL O\\S! $CBIS $GOOG $AAPL $S $LQMT\xe2\x80\xa6 https://t.co/W7rP5xGWBg'
2017-12-04 07:14:07,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
2017-12-04 07:13:31,b'$HMLA 0049 with only 36 mill O\\S? Look @ any OTC stock ur trading S\\S 20 times higher &amp; price. This Marijuana stock\xe2\x80\xa6 https://t.co/cwuHZSAmoE'
2017-12-04 07:13:04,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\xe2\x80\xa6 https://t.co/XDbjKV4Sae"""
2017-12-04 07:12:40,b'Check out these awesome trading systems: https://t.co/SlDMcCQf0c $AAPL $NFLX $TSLA $FB $VIX $DWTI $UWTI $SPY'
2017-12-04 07:10:56,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
2017-12-04 07:10:03,"b'Join @RobinhoodApp and get a stock like $AAPL, $F, or $DE for FREE! Make sure to follow this link! #stocks https://t.co/cgG4ysHnjp'"
2017-12-04 07:08:44,b'RT @aaaamhim: $HMLA 0049 with only 36 mill O\\S? Look @ any OTC stock ur trading S\\S 20 times higher &amp; price. This Marijuana stock now minin\xe2\x80\xa6'
2017-12-04 07:05:18,"b""Wrong.The dollar will rise against foreign currency.Does @msiglobal9 really read the tax cut bill?does he c what's\xe2\x80\xa6 https://t.co/Ex8HjFod0F"""
2017-12-04 07:05:02,b'We calculated 63-day Expected Return of $AAPL for you: 4.5% https://t.co/nf6ncMORXs'
2017-12-04 06:59:15,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
2017-12-04 06:54:46,"b'RT @JustinPulitzer: Monthly Sub - Weekend Review Video 12/3: ""https://t.co/BUZDKKh5ff""\n\n$ES_F $SPY $IWM $QQQ $VIX $UUP $FXE $GLD $ABX $GBTC\xe2\x80\xa6'"
2017-12-04 06:48:22,"b'Guy may have bought a bunch of $VIX and shorted the whole market. What a great fund manager, only to blame others f\xe2\x80\xa6 https://t.co/uVrxu4dzm4'"
2017-12-04 06:44:33,b'RT @cheddar: Apple\xe2\x80\x99s delayed its HomePod from this holiday to \xe2\x80\x9cearly 2018.\xe2\x80\x9d Were you planning on picking up the smart speaker? Let us know\xe2\x80\xa6'
2017-12-04 06:42:07,b'@Redpoprocks @AppleSupport Short AAPL'
2017-12-04 06:40:36,"b'@AskTarget DM Sent, thanks!'"
2017-12-04 06:39:54,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
2017-12-04 06:39:53,b'RT @realsheepwolf: \xf0\x9f\x91\x89 $INTV \xf0\x9f\x91\x88IMAGINE LIVING WITHOUT FEAR\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\n\xe2\xad\x90\xef\xb8\x8fCLICK HERE: https://t.co/xyEUlk6tN0\n\n$FRFS $FVRD $GRCK $WRFX $CBIS $OWCP $IPIX\xe2\x80\xa6'
