created_at,text
2017-11-03 18:22:32,b'# 1  #hot #newrelease Hard Rock Daddy Box Set #Free in Kindleunlimited #amazon #kindle #romance #books&gt;&gt;\xe2\x80\xa6 https://t.co/PUp3wTBIAh'
2017-11-03 18:22:31,b'Meet new friends w/Trendy guitars. https://t.co/2Np6jNLoRS https://t.co/D7XZIOddFs #giveaway'
2017-11-03 18:22:30,"b""'AMZN ( $AMZN)' RISE to 1111.48, now ALL TIME HIGH (+56656.4% since Thu 15/5/97). StochRSI: 85.99, Trend: ---++ https://t.co/xPIUAfGSNk"""
2017-11-03 18:22:27,b'RT @CSMcDonald7: #Holidaysarecoming #kids love George whatta great #giftidea GEORGE GOES TO CAMP https://t.co/pxwdxOAguo give the gift of r\xe2\x80\xa6'
2017-11-03 18:22:27,"b'RT @ARTofWriting: Profoundly moving and inspirational story. #Read My Little Heart, Ruthie @tonijannotta https://t.co/OikvHfT1iw https://t.\xe2\x80\xa6'"
2017-11-03 18:22:25,b'KingCamp Moon Leisure lightweight Camping Chair. https://t.co/N6M2r0M4sm https://t.co/2j8SxRWdG9 #giveaway'
2017-11-03 18:22:25,"b'https://t.co/hBV9Fa2SfC,    I entered a giveaway for a chance to win ""neck pillow"" by L\'alysse. https://t.co/MBBtOyRoD4 #giveaway'"
2017-11-03 18:22:24,b'\xe2\x99\xab All My Life - by Foo Fighters https://t.co/X3zKytIjrM #bbc #radio2 #np'
2017-11-03 18:22:23,b'RT @anarchy0029: Would a fun threesome turn into a relationship? #EARTG #IARTG #LPRTG #WPRTG\n\nAmazon:\nUS: https://t.co/10vDilRwVr\nUK: https\xe2\x80\xa6'
2017-11-03 18:22:22,b'RT @SandraInvesting: The Dog Detective loves to dig up clues. #Free #cozymystery #shortstory https://t.co/5A8FxjYKXS https://t.co/uWvPE6sAqF'
2017-11-03 18:22:21,"b'2,100 Asanas: The Complete Yoga Poses https://t.co/VoWEbVeA2D #Yoga #Meditate #yogapants #yogi #YogaPose #yogini https://t.co/Pc3F7KGyYk'"
