created_at,text
2017-11-05 02:23:21,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:22:38,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:22:38,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:22:32,"RT @btsanalytics: US 🇺🇸 ARMY! Wish to see @BTS_twt US debut stage live at @MSTheater for @AMAs? #BTSxAMAs

Purchase your tickets!
▶️(https:…"
2017-11-05 02:22:22,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:20:49,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:20:23,"RT @btsanalytics: US 🇺🇸 ARMY! Wish to see @BTS_twt US debut stage live at @MSTheater for @AMAs? #BTSxAMAs

Purchase your tickets!
▶️(https:…"
2017-11-05 02:19:52,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:19:46,"RT @MSTheater: Don't miss @BTS_twt performing here at the @AMAs here on November 19th!

Tickets: https://t.co/bUOpy3VPya https://t.co/fc1Il…"
2017-11-05 02:19:05,RT @MicrosoftTeams: Get Started on building your on #MicrosoftTeams app with the Getting Started Sample App! https://t.co/bLGp89AiDu https:…
2017-11-05 02:18:53,"RT @btsanalytics: US 🇺🇸 ARMY! Wish to see @BTS_twt US debut stage live at @MSTheater for @AMAs? #BTSxAMAs

Purchase your tickets!
▶️(https:…"
2017-11-05 02:17:08,"RT @btsanalytics: US 🇺🇸 ARMY! Wish to see @BTS_twt US debut stage live at @MSTheater for @AMAs? #BTSxAMAs

Purchase your tickets!
▶️(https:…"
2017-11-05 02:16:52,"RT @btsanalytics: US 🇺🇸 ARMY! Wish to see @BTS_twt US debut stage live at @MSTheater for @AMAs? #BTSxAMAs

Purchase your tickets!
▶️(https:…"
