created_at,text
11/1/17 2:12,RT @NUSTyleFashion: #fashion #style Buy Now: $50 Microsoft Xbox One Dual Charging Dock https://t.co/f3MY7fAvAc https://t.co/a0xIkPwc87
11/1/17 2:12,RT @NUSTyleFashion: #fashion #style Buy Now: $50 Microsoft Xbox One Dual Charging Dock https://t.co/f3MY7fAvAc https://t.co/a0xIkPwc87
11/1/17 2:12,"@Microsoft @troyhunt And why the hell would a ONE TIME PIN even be valid for 90 days?!Seems less of a ""one time""â€_ https://t.co/qClCAftUte"
11/1/17 2:12,"How to Formatting Worksheets in microsoft excel... #appscomexcelhttps://t.co/LAwhGdUeFZ"
11/1/17 2:12,RT @IoTRecruiting: #Microsoft Ventures debuts $3.5 million search for #startups shaping the future of #AI https://t.co/QK3nf9EduV #FutureDeâ€_
11/1/17 2:12,"RT @typescriptlang: IT'S ALIVE!TypeScript 2.6 is here with spooktacular strictFunctionTypes and other scary-good features! https://t.co/0â€_"
11/1/17 2:12,Microsoft Azure set to triple its capacity in China in next six months https://t.co/1MaWBj0dcq
11/1/17 2:12,RT @NUSTyleFashion: #fashion #style Buy Now: $50 Microsoft Xbox One Dual Charging Dock https://t.co/f3MY7fAvAc https://t.co/a0xIkPwc87
11/1/17 2:12,RT @EverythingMS: 25 year Microsoft veteran Julie Larson-Green says goodbye https://t.co/fndquRbQIp https://t.co/3WA8jsZ0lV
11/1/17 2:12,RT @NUSTyleFashion: #fashion #style Buy Now: $50 Microsoft Xbox One Dual Charging Dock https://t.co/f3MY7fAvAc https://t.co/a0xIkPwc87
11/1/17 2:12,"#LEGO #Marvel Super Heroes (Microsoft #Xbox One, 2013) #eBay_ŸŒê https://t.co/2Pr15O1w5c https://t.co/HZFOgSnal1"
11/1/17 2:11,"RT @awadallah: About to go up on stage to give #OpenCloud talk at Microsoft #FutureDecoded, come learn how @Cloudera Altus evolves ML/analyâ€_"
11/1/17 2:11,"RT @RectifyGaming: UPDATE: For our @ExtraLife4Kids Event this Saturday, Microsoft provided 2 #Gears4 controllers to giveaway + More. httpsâ€_"
11/1/17 2:11,RT @MisterCh0c: Microsoft director installing chrome in the middle of a presentation after edge breaks his demo _Ÿ˜‚Â https://t.co/rtgOQiksAU
11/1/17 2:11,"Of all the folks Iâ€™ve had the pleasure to know at Microsoft, @Julie_LGreen is truly #customerobsessed  https://t.co/xOwrZhHj6d"
11/1/17 2:11,"RT @x0rz: If you need to gather some network data on a target Windows computer, you can use gatherNetworkInfo.vbs (signed by Microsoft) #reâ€_"
11/1/17 2:11,"You even have a proper 2FA tool @microsoft!!WTF is this bizarre security theater bullshit?facepalm.gifThoughtâ€_ https://t.co/wRPKxhBNl9"
11/1/17 2:11,@FirestoneMemes They donâ€™t use Microsoft word... they use discord as they arenâ€™t that fancy https://t.co/Zdn28YEbUo
11/1/17 2:11,"Microsoft Announces New Mixer App for Android, iOS https://t.co/WtPWIaFiGC https://t.co/PT5cnguXqs"
11/1/17 2:11,"Microsoft Announces New Mixer App for Android, iOS https://t.co/WtPWIaFiGC https://t.co/cEwFXBhKJT"
11/1/17 2:11,RT @msftmfg: #AI is whatâ€™s next in #manufacturing. https://t.co/SaA8VX1oNi @sanrav https://t.co/oXegQgB7Iq
11/1/17 2:11,"Birthday: [2005] Microsoft Windows Compute Cluster Server 2003, 1.0.412.0 on #TCB https://t.co/h12j4xy7Ia"
