created_at,text,sentiment
2017-12-06T08:03:16Z,Here’s what 210 Estimize analysts believe $AMZN will report for Q4 2017 revenue [Reporting 02/01 AMC] http://www.estimize.com/intro/amzn?utm_content=AMZN&amp;amp;utm_medium=revenue_update&amp;amp;utm_source=stocktwits#chart=historical,Neutral
2017-12-06T07:56:26Z,$BABA $AAPL $GOOG $AMZN $NFLX c’mon Santa! Get to work!,Neutral
2017-12-06T07:25:20Z,$FB $AAPL $GE $AMZN $UVXY $TVIX Sunedison a Story of Wall Street Greed and Fear https://www.youtube.com/watch?v=qKynLs5eaq4,Neutral
2017-12-06T07:22:13Z,$SPY $QQQ $NVDA $TSLA $FB $AMZN  Bad day in Hong Kong now 🤕🤕🤕,Neutral
2017-12-06T07:19:13Z,$BABA will this be the beginning to $BABA making It to the league Hope it not to late 😑 $MSFT $GOOG $AAPL $AMZN,Neutral
2017-12-06T06:42:19Z,"Since The Election, 10 Stocks Have Taken 33% of the Gains  https://buff.ly/2zA7Tag   $JPM $BAC $NVDA $BA $WMT $AAPL $MSFT $GOOG $FB $AMZN",Neutral
2017-12-06T06:36:54Z,How to Invest in India&#39;s Hot E-Commerce Economy? Just Buy The Usual Names https://buff.ly/2AvKNR5  $AMZN $MSFT $GOOG $GOOGL $BABA $TCEHY,Neutral
2017-12-06T06:31:23Z,$AMZN Nasdaq -0.5%  down  in Wed Asia,Neutral
2017-12-06T06:06:51Z,"$KEM p/e 3.15, $AMZN p/e 289.5 ?",Neutral
2017-12-06T05:47:52Z,"$AAPL $NVDA $FB $GOOG $AMZN $MSFT it seems AMT to be repealed in new tax bill, very good for tech companie",Bullish
2017-12-06T05:47:51Z,🤯 The $SPY #BTFD Zombies should just shut it down until JAN 2018 $FB $AMZN $NVDA $BABA $TSLA $IWM $QQQ,Bearish
2017-12-06T05:45:53Z,"$AAPL $nvda $fb $goog $amzn $msft it seems ATM to be repealed in new tax bill, very good for tech companies.",Bullish
2017-12-06T05:16:11Z,"$AMZN Levels to watch downside: 1118/1086/1052 and big gap below. If markets correct, we may go there. Protect your profits with puts.",Neutral
2017-12-06T05:10:20Z,$BTC.X $MARA $MNKD $DPW $AMZN $RIOT $LTC.X $ETH.X $CUR $JAGX when your the o my guy pumping... everyone sees it,Neutral
2017-12-06T05:09:25Z,Here’s what 210 Estimize analysts believe $AMZN will report for Q4 2017 EPS [Reporting 02/01 AMC] http://www.estimize.com/intro/amzn?utm_content=AMZN&amp;amp;utm_medium=eps_update&amp;amp;utm_source=stocktwits#chart=historical,Neutral
2017-12-06T05:02:16Z,Retail Chains Are Booming: https://buff.ly/2AzJmiG  Since early July: $AMZN +20% $COST +14% $AZO +20% $TSCO +26% $WMT +28% $FIVE +33%,Neutral
2017-12-06T04:41:10Z,Should Investors Add a Healthy Dose of CVS after its Pullback this Fall? https://seekingalpha.com/article/4113147-cvs-post-pullback-play  $CVS $WBA $AMZN $WMT $TGT $ESRX $RAD $ANTM,Bullish
2017-12-06T04:39:23Z,https://finance.yahoo.com/news/invest-india-apos-hot-e-233311943.html?.tsrc=rss $BABA $AMZN $FB $GOOG $MSFT $TCEHY $INDL $INDA,Neutral
2017-12-06T04:38:59Z,$BABA $AMZN $FB $GOOG $MSFT $TCEHY $INDL $INDA,Neutral
2017-12-06T04:32:29Z,$LRCX $NVDA $MU $AMD $FB $AMZN   DUMPPPP,Bearish
2017-12-06T04:32:14Z,"$AMZN shows a strong growth in Earnings Per Share. Measured over the last 5 years, the EPS has been growing by ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=GROWTH#/AMZN?r=fa&amp;key=7e23e545-7a86-47d1-a0b4-6048c3164d97",Neutral
2017-12-06T04:24:27Z,@southernyank billions are being talked about in future rev. The whole sector has $XOM $AMZN toyota and $WMT all over it.,Neutral
2017-12-06T04:22:26Z,$AMZN very strong support around 1100 range. Doubt that area shall be breached.,Neutral
2017-12-06T04:22:15Z,"$msft as the CEO begins to reshape the company with new board members, expect the decline of $amzn and $baba cloud",Bullish
2017-12-06T04:11:57Z,$SPY $UVXY $VXX $APPL $BABA $AMZN $TSLA $MSFT $FSLR,Neutral
2017-12-06T04:10:56Z,$SPY FIB WEBINAR - Can be used on $UVXY $VXX $APPL $BABA $AMZN $TSLA $MSFT $FSLR https://youtu.be/_IM1o-vFMS4,Neutral
2017-12-06T04:07:37Z,$FB Open range trade example on $FB. We use on FANG $FB $AMZN $NFLX $GOOGL  https://youtu.be/M-fcRSfR_Ms,Neutral
2017-12-06T04:07:34Z,$AMZN (Amazon.com Inc) is showing strong with a 50.33% gain since 12 months ago http://bit.ly/1FwqbUL #AMZN,Neutral
2017-12-06T03:36:26Z,$AMZN https://m.facebook.com/story.php?story_fbid=10156001716157509&amp;id=30911162508 Amazon caught selling counterfeit parts.,Neutral
2017-12-06T03:27:54Z,You Won&#39;t Believe $AMZN&#39;s Latest Idea To Save You Money - https://buff.ly/2AwNj9E  Latest Tactic in War Against $GOOG,Neutral
2017-12-06T03:23:16Z,"$AMZN If I put $20,000 in Amazon tomorrow......  What kind of day would I have 🤔😁",Bullish
2017-12-06T03:19:55Z,$NVDA $AAPL $GOOGL $SPY $AMZN individual option or entire option chain for specific exp date can be tracked soon ..,Neutral
2017-12-06T03:17:53Z,"$SPY $QQQ $AMZN $FB      It&#39;s called a Head -N-Shoulders Sunshine, Smart money selling into the fluff and narrated speculation.",Neutral
2017-12-06T03:16:06Z,$SPY $QQQ $AMZN $FB,Neutral
2017-12-06T03:13:05Z,$SPY $QQQ $AMZN $FB Best in CLASS tech is what you need to buy on this rotation!! https://seekingalpha.com/article/4129877-trade-desk-buy-quality-tech-rotation,Bullish
2017-12-06T02:56:13Z,The spat between $AMZN and $GOOGL $GOOG means that their M&amp;A department will look into buying $ROKU eventually. Sooner than later.,Bullish
2017-12-06T02:55:55Z,Its Lit! 🔥🔥$LTC.X 👈 $BTC.X $IOT.X $AMD $NVDA $INTC $AMZN,Neutral
2017-12-06T02:51:59Z,$AMZN thoughts on OSTK buyout? Some crypto urls attained but with TZero launch 12/18 and OSTK buyout rumors was throwing a dart here...,Neutral
2017-12-06T02:35:16Z,This Vanguard Fund Emulates The #S&amp;P 500 $SPY $VOO $AMZN $MSFT $AAPL $AMZN $JNJ https://marketchameleon.com/Blog,Neutral
2017-12-06T02:22:49Z,NEW VIDEO Stock Analysis + Trade Ideas $AAPL $AMZN $GOOGL $BIDU $BABA $FB $NVDA click link &gt; https://www.thetradinganalyst.com/12517-how-to-trade-stocks-aapl-amzn-googl-bidu-baba/,Neutral
2017-12-06T02:15:15Z,"$AMZN analysts on Estimize are expecting 36.95% YoY revenue growth for Q4, up from 33.72% in Q3 [Reporting 02/01 AMC] http://www.estimize.com/intro/amzn?utm_content=AMZN&amp;amp;utm_medium=revenue_growth&amp;amp;utm_source=stocktwits#chart=historical",Neutral
2017-12-06T02:12:56Z,‪The @DavidEinhorn of Greenlight Capital paradigm shift: $AMZN $TSLA $NFLX ‬,Neutral
2017-12-06T02:05:47Z,"Technology Can&#39;t Hold Rally, As Stock Prices Continue To Fade $spy $spx $mu $nvda $soxx $avgo $amzn $tsla $jpm https://mottcapitalmanagement.com/technology-cant-hold-stock-prices-fade/",Neutral
2017-12-06T01:57:02Z,$DPW What if the fake $AMZN news was put out by Clay. He will make a lot of money tomorrow of that&#39;s true.,Neutral
