created_at,text,sentiment
2017-12-06T04:15:20Z,The Buy Point Watchlist 11.26.17 $FB $GOOGL $GOOG $FLT $RACE $BAP $HDB $PRAH $CACC $OLLI $MBUU $HQY $CTLT $ABBV $BBL $PAYX $IVZ,Bullish
2017-12-06T04:13:38Z,The Buy Point Watchlist 11.19.17 $FB $BABA $GOOG $GOOGL $FLT $HDB $PRAH $AEIS $CACC $MBUU $HQY $CTLT $PAYX,Bullish
2017-12-06T03:27:54Z,You Won&#39;t Believe $AMZN&#39;s Latest Idea To Save You Money - https://buff.ly/2AwNj9E  Latest Tactic in War Against $GOOG,Neutral
2017-12-06T03:11:22Z,"Love the predictability of Wall st manipulating stock prices to maximize options OPEx / max pain.  Dec 15 $aapl $170, $goog $1,000, $sq $38",Neutral
2017-12-06T02:56:13Z,The spat between $AMZN and $GOOGL $GOOG means that their M&amp;A department will look into buying $ROKU eventually. Sooner than later.,Bullish
2017-12-06T02:54:00Z,$GOOG will hit as high as 1030 tomorrow,Bullish
2017-12-06T02:42:31Z,$GOOG check out the free social network for investors called socialwallstreet com. Swing on by,Neutral
2017-12-06T02:18:46Z,"$NVDA has had a great run but there are risks: deceleration in rev forecast,valuation,&amp; increasing competition from $AMD, $GOOG $INTC $QCOM",Bearish
2017-12-06T02:18:34Z,80.8% earnings growth in 3 years.. What’s your opinion? Alphabet $GOOG https://simplywall.st/NasdaqGS:GOOG/alphabet/?utm_medium=stocktwits&amp;anchor=past-future-earnings#past-future-earnings,Neutral
2017-12-06T01:33:25Z,"$AMZN #Google pulls YouTube from #Amazon devices, escalating spat https://www.reuters.com/article/us-amazon-com-tech-alphabet/google-pulls-youtube-from-amazon-devices-escalating-spat-idUSKBN1DZ37O?feedType=RSS&amp;feedName=businessNews&amp;utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+reuters%2FbusinessNews+%28Business+News%29 $GOOG $GOOGL",Neutral
2017-12-06T01:29:20Z,🔴McOscilator  🔻&lt;50d $fb $goog $nvda $flex $sne $soxx $nflx  MACD bear❌ $amzn $msft $amat $aapl  🔻&lt;200d $hrb,Bearish
